name,address,longitude_wgs84,latitude_wgs84
天津市中西医结合医院,天津市南开区三纬路122号,117.16421174199418,39.12698062021849
天津市第二中心医院,天津市红桥区北马路354号,117.17113358740643,39.14541578293556
天津医科大学第二附属医院,天津河西区平江道23号,117.21549900664743,39.08114400359861
天津市第三中心医院,天津市河东区津塘路83号,117.24170774723228,39.10893754033476
天津市第四中心医院,天津市河北区中山路一号,117.20248469589211,39.16291627462866
天津市南开医院（南开医院）,天津市南开区三纬路122号,117.16419964133551,39.12552624431355
天津市第四医院,天津市河西区微山路4号,117.25661428488854,39.060303748340004
天津市环湖医院,天津市河西区气象台路122号,117.17501703296685,39.08810646522303
天津市天津医院,天津市河西区解放南路406号,117.2245224629453,39.09226591813417
天津市传染病医院,天津市南开区苏堤路75号,117.14519500657767,39.112514154808984
天津市中医医院,天津市河北区中山路125号,117.19606512967691,39.15841970472466
天津医科大学第二医院（天津医大二院）,天津市河西区平江道23号,117.21395412030236,39.08183845327503
天津医科大学附属肿瘤医院,天津市河西区体院北环湖西路,117.17739848239462,39.079226889430785
天津市肺科医院,天津市河西区柳林路14号,117.28033532885868,39.073347024142734
天津市胸科医院,天津市和平区西安道93号,117.19061206486681,39.11510927170786
天津海河医院（海河医院）,天津市津南区双港东,117.31502132431572,39.04169963874603
天津市武警医学院附属医院（武警医学院附院）,天津市河东区成林道211号（成林道与天山路交口处东南角）,117.29139426370958,39.133970478797686
天津医科大学口腔医院（医科大口腔医院）,天津和平区气象台路12号,117.17895368523746,39.103865829695316
中国人民解放军第二五四医院（254医院）,天津市河北区黄纬路60号,117.18360459838446,39.16070779435762
泰达心血管病医院,天津市经济技术开发区第三大街61号,117.70774556784453,39.02628897463955
中国医学科学院血液病医院（血液研究所）,天津市南京路288号,117.17677422753013,39.121040833222715
中国人民解放军第254医院泌尿中心,天津市河北区黄纬路60号,117.18360459838446,39.16070779435762
天津市医科大学眼科中心,天津市和平区同安道64号,117.1772465904259,39.10360575076
天津天津环湖医院（脑科中心医院、环湖医院）,天津市河西区气象台路122号,117.17501703296685,39.08810646522303
天津市人民医院滨江分院（人民医滨江分院）,天津市和平区滨江道205号,117.19279835146664,39.122528361503015
天津市公安局安康医院（安康医院）,天津市河北区建昌道34号,117.21819546169075,39.172586803529256
中国医学科学院中国协和医科大学血液学研究所血液病医院,天津市和平区南京路288号,117.17677422753013,39.121040833222715
武警天津部队医院（人民武装警察部队医学院附属医院）,天津市河东区程林庄道与天山路口,117.27048551070965,39.13797011983421
中国人民解放军第四六四医院,天津市南开区红旗南路600号,117.17692372471954,39.06629077611824
泰达国际心血管病医院,天津市经济技术开发区第三大街61号,117.70836740732393,39.02751102273439
天津市第五中心医院天津市塘沽医院,天津市塘沽区杭州道41号,117.64755527672577,39.03534558506868
中国人民解放军空军天津医院中国人民解放军四六四医院,天津市南开区红旗南路600号,117.17692372471954,39.06629077611824
天津铁路中心医院,天津市河北区中山路3号,117.20248469589211,39.16291627462866
天津中医学院第二附属医院（天津中医二附院）,天津市河北区王串场真理道3号路,117.22134627793434,39.14846655745495
天津医科大学第三附属医院,天津市河西区三义庄街马场道91号,117.20765017732668,39.11033338275518
天津市医科大学总医院,天津市和平区鞍山道,117.17996116704522,39.11680176876786
天津市肿瘤医院,天津市河西区体院北环湖西路,117.17739848239462,39.079226889430785
天津市心理卫生医院,天津市和平区四平东道29号,117.18836529373263,39.12560922845512
河北医科大学第三医院（河北医科大三院）,河北省石家庄市自强路139号,114.46162238741583,38.04006356122766
河北省儿童医院,河北省石家庄市长安区建华南大街133号,114.5410841024416,38.03463412931869
石家庄市中医院,河北省石家庄市中山西路233号,114.4662602778819,38.042943101830026
河北省人民医院,河北省石家庄市和平西路348号,114.45941633733452,38.05763700283893
河北北方学院附属第一医院（北方学院附一院）,河北省张家口市长青路12号,114.8836669968056,40.82635052390681
唐山市人民医院（唐山市肿瘤医院）,河北省唐山市路南区胜利路65号,118.20615464012829,39.61819768680866
河北省胸科医院（河北省结核病医院）,河北省石家庄市胜利北街372号,114.51229406447659,38.08863504428762
邯郸市第一医院,河北省邯郸市丛台路24号,114.48492513736798,36.619151456537395
河北医科大学第二医院（河北医科大二院）,河北省石家庄市和平西路215号,114.47616111083545,38.05738836344019
邯郸市中心医院,河北省邯郸市中华南大街15号,114.48567156417883,36.60014171560852
承德医学院附属医院（承德附院）,河北省承德市南营子大街36号,117.92895421706959,40.96833779480332
河北省职工医学院附属医院（河北省职工医学院附院）,河北省保定市裕华东路212号,115.50897325853543,38.85356099358736
廊坊市人民医院,河北省廊坊市新华路37号,116.70411330168899,39.51614665480477
河北省中医院（河北中医学院附属医院）,河北省石家庄市中山东路389号,114.53157272929106,38.0435561716518
沧州市人民医院,河北省沧州市北大街20号,117.22072122386756,38.059948612604416
沧州市中心医院,河北省沧州市新华中路201号,116.84204008113703,38.3104124742319
中国人民解放军白求恩国际和平医院（白求恩国际和平医院）,河北省石家庄市中山西路398号,114.44322391391073,38.038852920437655
河北省中医院,河北省石家庄市长安区中山东路389号,114.53157272929106,38.0435561716518
华北煤炭医学院附属医院,河北省唐山市路北区建设南路73号,118.17933683395978,39.63947815339842
邢台市人民医院,红星街16号(市政府西行300米路南),114.49405339482742,37.06898749634045
河北医科大学第一医院（河北医科大一院）,河北省石家庄市东岗路89号,114.54697373494555,38.01654159873394
河北省第六人民医院,河北省保定市东风东路572号(军校广场南侧),115.53934238893619,38.865909632096816
河北医科大学口腔医院（河北省口腔医院）,河北省石家庄市长安区中山东路383号,114.5302557599045,38.04303233315214
张家口医学院第一附属医院,河北省张家口市桥西区长青路12号,114.8836669968056,40.82635052390681
沧州市中西医结合医院,河北省沧州市南环西路22号,116.8069798080898,38.563828697570926
唐山市中医院,河北省唐山市康庄道3号,118.18029228925413,39.625794872258325
唐山市妇幼保健院,河北省唐山市路南区建设南路14号,118.17011194927858,39.6199461795332
邯郸市中医院,河北省邯郸市和平路311号,114.4936690834144,36.60183321227916
廊坊市中医院,河北省廊坊市银河北路108号,116.69075847680142,39.53482826513145
唐山市第四医院（唐山市肺科医院）,河北省唐山市学警路南头,118.21093893875806,39.59986854316444
河北省中医医院,河北省石家庄市中山东路389号,114.53157272929106,38.0435561716518
保定市第一中心医院,河北省保定市长城北大街320号,115.50653345307354,38.87292214574901
